Cycle 0: Router 0, Element Input Buffer, Flit Flit 1
Cycle 1: Router 0, Element Input Buffer, Flit Flit 1
Cycle 2: Router 0, Element Input Buffer, Flit Flit 1
Cycle 3: Router 0, Element Input Buffer, Flit Flit 1
Cycle 4: Router 0, Element Input Buffer, Flit Flit 1
Cycle 5: Router 0, Element Input Buffer, Flit Flit 1
Cycle 6: Router 0, Element Input Buffer, Flit Flit 1
Cycle 7: Router 0, Element Input Buffer, Flit Flit 1
Cycle 8: Router 0, Element Input Buffer, Flit Flit 1
Cycle 9: Router 0, Element Input Buffer, Flit Flit 1
Cycle 10: Router 0, Element Input Buffer, Flit Flit 1
Cycle 11: Router 0, Element Input Buffer, Flit Flit 1
Cycle 12: Router 0, Element Input Buffer, Flit Flit 1
Cycle 13: Router 0, Element Input Buffer, Flit Flit 1
Cycle 14: Router 0, Element Input Buffer, Flit Flit 1
Cycle 15: Router 0, Element Input Buffer, Flit Flit 1
Cycle 16: Router 0, Element Input Buffer, Flit Flit 1
Cycle 17: Router 0, Element Input Buffer, Flit Flit 1
Cycle 18: Router 0, Element Input Buffer, Flit Flit 1
Cycle 19: Router 0, Element Input Buffer, Flit Flit 1
Cycle 20: Router 0, Element Input Buffer, Flit Flit 1
Cycle 21: Router 0, Element Input Buffer, Flit Flit 1
Cycle 22: Router 0, Element Input Buffer, Flit Flit 1
Cycle 23: Router 0, Element Input Buffer, Flit Flit 1
Cycle 24: Router 0, Element Input Buffer, Flit Flit 1
Cycle 25: Router 0, Element Input Buffer, Flit Flit 1
Cycle 26: Router 0, Element Input Buffer, Flit Flit 1
Cycle 27: Router 0, Element Input Buffer, Flit Flit 1
Cycle 28: Router 0, Element Input Buffer, Flit Flit 1
Cycle 29: Router 0, Element Input Buffer, Flit Flit 1
Cycle 30: Router 0, Element Input Buffer, Flit Flit 1
Cycle 31: Router 0, Element Input Buffer, Flit Flit 1
Cycle 32: Router 0, Element Input Buffer, Flit Flit 1
Cycle 33: Router 0, Element Input Buffer, Flit Flit 1
Cycle 34: Router 0, Element Input Buffer, Flit Flit 1
Cycle 35: Router 0, Element Input Buffer, Flit Flit 1
Cycle 36: Router 0, Element Input Buffer, Flit Flit 1
Cycle 37: Router 0, Element Input Buffer, Flit Flit 1
Cycle 38: Router 0, Element Input Buffer, Flit Flit 1
Cycle 39: Router 0, Element Input Buffer, Flit Flit 1
Cycle 40: Router 0, Element Input Buffer, Flit Flit 1
Cycle 41: Router 0, Element Input Buffer, Flit Flit 1
Cycle 42: Router 0, Element Input Buffer, Flit Flit 1
Cycle 43: Router 0, Element Input Buffer, Flit Flit 1
Cycle 44: Router 0, Element Input Buffer, Flit Flit 1
Cycle 45: Router 0, Element Input Buffer, Flit Flit 1
Cycle 46: Router 0, Element Input Buffer, Flit Flit 1
Cycle 47: Router 0, Element Input Buffer, Flit Flit 1
Cycle 48: Router 0, Element Input Buffer, Flit Flit 1
Cycle 49: Router 0, Element Input Buffer, Flit Flit 1
Cycle 50: Router 0, Element Input Buffer, Flit Flit 1
Cycle 51: Router 0, Element Input Buffer, Flit Flit 1
Cycle 52: Router 0, Element Input Buffer, Flit Flit 1
Cycle 53: Router 0, Element Input Buffer, Flit Flit 1
Cycle 54: Router 0, Element Input Buffer, Flit Flit 1
Cycle 55: Router 0, Element Input Buffer, Flit Flit 1
Cycle 56: Router 0, Element Input Buffer, Flit Flit 1
Cycle 57: Router 0, Element Input Buffer, Flit Flit 1
Cycle 58: Router 0, Element Input Buffer, Flit Flit 1
Cycle 59: Router 0, Element Input Buffer, Flit Flit 1
